model,norm_type,bootstrap_num,disease,F1,dataset
inception,minmax,17,atrial fibrillation,0.9333333333333332,ChapmanShaoxing
inception,minmax,18,atrial fibrillation,0.926553672316384,ChapmanShaoxing
inception,minmax,19,atrial fibrillation,0.8907563025210085,ChapmanShaoxing
minirocket,raw,0,atrial fibrillation,0.7231920199501246,ChapmanShaoxing
minirocket,raw,1,atrial fibrillation,0.8587570621468926,ChapmanShaoxing
minirocket,raw,2,atrial fibrillation,0.8387096774193548,ChapmanShaoxing
minirocket,raw,3,atrial fibrillation,0.8498583569405099,ChapmanShaoxing
minirocket,raw,4,atrial fibrillation,0.8588588588588588,ChapmanShaoxing
minirocket,raw,5,atrial fibrillation,0.8369565217391304,ChapmanShaoxing
minirocket,raw,6,atrial fibrillation,0.8357348703170029,ChapmanShaoxing
minirocket,raw,7,atrial fibrillation,0.8409090909090908,ChapmanShaoxing
minirocket,raw,8,atrial fibrillation,0.863509749303621,ChapmanShaoxing
minirocket,raw,9,atrial fibrillation,0.8579545454545455,ChapmanShaoxing
minirocket,raw,10,atrial fibrillation,0.8670520231213873,ChapmanShaoxing
minirocket,raw,11,atrial fibrillation,0.8421052631578948,ChapmanShaoxing
minirocket,raw,12,atrial fibrillation,0.8383233532934131,ChapmanShaoxing
minirocket,raw,13,atrial fibrillation,0.8611898016997167,ChapmanShaoxing
minirocket,raw,14,atrial fibrillation,0.8642659279778393,ChapmanShaoxing
minirocket,raw,15,atrial fibrillation,0.8703170028818444,ChapmanShaoxing
minirocket,raw,16,atrial fibrillation,0.8571428571428572,ChapmanShaoxing
minirocket,raw,17,atrial fibrillation,0.8235294117647058,ChapmanShaoxing
minirocket,raw,18,atrial fibrillation,0.8409090909090908,ChapmanShaoxing
minirocket,raw,19,atrial fibrillation,0.8478260869565217,ChapmanShaoxing
minirocket,minmax,0,atrial fibrillation,0.8297872340425532,ChapmanShaoxing
minirocket,minmax,1,atrial fibrillation,0.8629737609329445,ChapmanShaoxing
minirocket,minmax,2,atrial fibrillation,0.8201892744479495,ChapmanShaoxing
minirocket,minmax,3,atrial fibrillation,0.8594594594594595,ChapmanShaoxing
minirocket,minmax,4,atrial fibrillation,0.8361581920903954,ChapmanShaoxing
minirocket,minmax,5,atrial fibrillation,0.8439306358381502,ChapmanShaoxing
minirocket,minmax,6,atrial fibrillation,0.7757255936675462,ChapmanShaoxing
minirocket,minmax,7,atrial fibrillation,0.8187134502923978,ChapmanShaoxing
minirocket,minmax,8,atrial fibrillation,0.8520710059171599,ChapmanShaoxing
minirocket,minmax,9,atrial fibrillation,0.8192771084337349,ChapmanShaoxing
minirocket,minmax,10,atrial fibrillation,0.8523676880222841,ChapmanShaoxing
minirocket,minmax,11,atrial fibrillation,0.8472622478386168,ChapmanShaoxing
minirocket,minmax,12,atrial fibrillation,0.8620689655172413,ChapmanShaoxing
minirocket,minmax,13,atrial fibrillation,0.8597014925373134,ChapmanShaoxing
minirocket,minmax,14,atrial fibrillation,0.8659217877094972,ChapmanShaoxing
minirocket,minmax,15,atrial fibrillation,0.8338368580060423,ChapmanShaoxing
minirocket,minmax,16,atrial fibrillation,0.838888888888889,ChapmanShaoxing
minirocket,minmax,17,atrial fibrillation,0.8440366972477064,ChapmanShaoxing
minirocket,minmax,18,atrial fibrillation,0.8571428571428572,ChapmanShaoxing
minirocket,minmax,19,atrial fibrillation,0.8579545454545455,ChapmanShaoxing
xresnet1d101,raw,0,atrial fibrillation,0.8907103825136612,ChapmanShaoxing
xresnet1d101,raw,1,atrial fibrillation,0.923512747875354,ChapmanShaoxing
xresnet1d101,raw,2,atrial fibrillation,0.8945868945868947,ChapmanShaoxing
xresnet1d101,raw,3,atrial fibrillation,0.9090909090909092,ChapmanShaoxing
xresnet1d101,raw,4,atrial fibrillation,0.8908045977011494,ChapmanShaoxing
xresnet1d101,raw,5,atrial fibrillation,0.9192200557103064,ChapmanShaoxing
xresnet1d101,raw,6,atrial fibrillation,0.9187675070028012,ChapmanShaoxing
xresnet1d101,raw,7,atrial fibrillation,0.8985507246376813,ChapmanShaoxing
xresnet1d101,raw,8,atrial fibrillation,0.9294117647058824,ChapmanShaoxing
xresnet1d101,raw,9,atrial fibrillation,0.912280701754386,ChapmanShaoxing
xresnet1d101,raw,10,atrial fibrillation,0.8814589665653496,ChapmanShaoxing
xresnet1d101,raw,11,atrial fibrillation,0.9121813031161472,ChapmanShaoxing
xresnet1d101,raw,12,atrial fibrillation,0.9080779944289692,ChapmanShaoxing
xresnet1d101,raw,13,atrial fibrillation,0.884272997032641,ChapmanShaoxing
xresnet1d101,raw,14,atrial fibrillation,0.8934911242603552,ChapmanShaoxing
xresnet1d101,raw,15,atrial fibrillation,0.9152542372881356,ChapmanShaoxing
xresnet1d101,raw,16,atrial fibrillation,0.9315068493150686,ChapmanShaoxing
xresnet1d101,raw,17,atrial fibrillation,0.8623853211009174,ChapmanShaoxing
xresnet1d101,raw,18,atrial fibrillation,0.8947368421052632,ChapmanShaoxing
xresnet1d101,raw,19,atrial fibrillation,0.8913043478260869,ChapmanShaoxing
xresnet1d101,minmax,0,atrial fibrillation,0.9344729344729344,ChapmanShaoxing
xresnet1d101,minmax,1,atrial fibrillation,0.9203539823008848,ChapmanShaoxing
xresnet1d101,minmax,2,atrial fibrillation,0.8959537572254336,ChapmanShaoxing
xresnet1d101,minmax,3,atrial fibrillation,0.9208211143695014,ChapmanShaoxing
xresnet1d101,minmax,4,atrial fibrillation,0.9157303370786516,ChapmanShaoxing
xresnet1d101,minmax,5,atrial fibrillation,0.904899135446686,ChapmanShaoxing
xresnet1d101,minmax,6,atrial fibrillation,0.9106145251396648,ChapmanShaoxing
xresnet1d101,minmax,7,atrial fibrillation,0.9121813031161472,ChapmanShaoxing
xresnet1d101,minmax,8,atrial fibrillation,0.9226519337016574,ChapmanShaoxing
xresnet1d101,minmax,9,atrial fibrillation,0.903954802259887,ChapmanShaoxing
xresnet1d101,minmax,10,atrial fibrillation,0.9111111111111112,ChapmanShaoxing
xresnet1d101,minmax,11,atrial fibrillation,0.9054441260744986,ChapmanShaoxing
xresnet1d101,minmax,12,atrial fibrillation,0.895774647887324,ChapmanShaoxing
xresnet1d101,minmax,13,atrial fibrillation,0.9344729344729344,ChapmanShaoxing
xresnet1d101,minmax,14,atrial fibrillation,0.891640866873065,ChapmanShaoxing
xresnet1d101,minmax,15,atrial fibrillation,0.9159420289855073,ChapmanShaoxing
xresnet1d101,minmax,16,atrial fibrillation,0.880466472303207,ChapmanShaoxing
xresnet1d101,minmax,17,atrial fibrillation,0.8301886792452831,ChapmanShaoxing
xresnet1d101,minmax,18,atrial fibrillation,0.9214092140921408,ChapmanShaoxing
xresnet1d101,minmax,19,atrial fibrillation,0.9043478260869564,ChapmanShaoxing
inception,raw,0,left ventricular high voltage,0.6736842105263159,ChapmanShaoxing
inception,raw,1,left ventricular high voltage,0.7209302325581396,ChapmanShaoxing
inception,raw,2,left ventricular high voltage,0.7286821705426355,ChapmanShaoxing
inception,raw,3,left ventricular high voltage,0.7196969696969697,ChapmanShaoxing
inception,raw,4,left ventricular high voltage,0.6206896551724138,ChapmanShaoxing
inception,raw,5,left ventricular high voltage,0.61,ChapmanShaoxing
inception,raw,6,left ventricular high voltage,0.7258687258687258,ChapmanShaoxing
inception,raw,7,left ventricular high voltage,0.7203065134099617,ChapmanShaoxing
inception,raw,8,left ventricular high voltage,0.7746478873239436,ChapmanShaoxing
inception,raw,9,left ventricular high voltage,0.5612244897959183,ChapmanShaoxing
inception,raw,10,left ventricular high voltage,0.7434944237918215,ChapmanShaoxing
inception,raw,11,left ventricular high voltage,0.7094594594594594,ChapmanShaoxing
inception,raw,12,left ventricular high voltage,0.7241379310344829,ChapmanShaoxing
inception,raw,13,left ventricular high voltage,0.6785714285714286,ChapmanShaoxing
inception,raw,14,left ventricular high voltage,0.61,ChapmanShaoxing
inception,raw,15,left ventricular high voltage,0.7453874538745388,ChapmanShaoxing
inception,raw,16,left ventricular high voltage,0.6842105263157895,ChapmanShaoxing
inception,raw,17,left ventricular high voltage,0.7557251908396947,ChapmanShaoxing
inception,raw,18,left ventricular high voltage,0.6551724137931033,ChapmanShaoxing
inception,raw,19,left ventricular high voltage,0.6694915254237289,ChapmanShaoxing
inception,minmax,0,left ventricular high voltage,0.4541062801932367,ChapmanShaoxing
inception,minmax,1,left ventricular high voltage,0.5150214592274678,ChapmanShaoxing
inception,minmax,2,left ventricular high voltage,0.4171122994652406,ChapmanShaoxing
inception,minmax,3,left ventricular high voltage,0.4338624338624339,ChapmanShaoxing
inception,minmax,4,left ventricular high voltage,0.5123966942148761,ChapmanShaoxing
inception,minmax,5,left ventricular high voltage,0.3720930232558139,ChapmanShaoxing
inception,minmax,6,left ventricular high voltage,0.3411764705882352,ChapmanShaoxing
inception,minmax,7,left ventricular high voltage,0.1944444444444444,ChapmanShaoxing
inception,minmax,8,left ventricular high voltage,0.4770642201834862,ChapmanShaoxing
inception,minmax,9,left ventricular high voltage,0.4421052631578948,ChapmanShaoxing
inception,minmax,10,left ventricular high voltage,0.3170731707317073,ChapmanShaoxing
inception,minmax,11,left ventricular high voltage,0.4108108108108108,ChapmanShaoxing
inception,minmax,12,left ventricular high voltage,0.5384615384615384,ChapmanShaoxing
inception,minmax,13,left ventricular high voltage,0.4591836734693877,ChapmanShaoxing
inception,minmax,14,left ventricular high voltage,0.4375,ChapmanShaoxing
inception,minmax,15,left ventricular high voltage,0.4455958549222797,ChapmanShaoxing
inception,minmax,16,left ventricular high voltage,0.4405286343612334,ChapmanShaoxing
inception,minmax,17,left ventricular high voltage,0.4928909952606635,ChapmanShaoxing
inception,minmax,18,left ventricular high voltage,0.4083769633507853,ChapmanShaoxing
inception,minmax,19,left ventricular high voltage,0.4839857651245551,ChapmanShaoxing
minirocket,raw,0,left ventricular high voltage,0.504950495049505,ChapmanShaoxing
minirocket,raw,1,left ventricular high voltage,0.5024154589371981,ChapmanShaoxing
minirocket,raw,2,left ventricular high voltage,0.603448275862069,ChapmanShaoxing
minirocket,raw,3,left ventricular high voltage,0.5296803652968036,ChapmanShaoxing
minirocket,raw,4,left ventricular high voltage,0.5479452054794521,ChapmanShaoxing
minirocket,raw,5,left ventricular high voltage,0.526829268292683,ChapmanShaoxing
minirocket,raw,6,left ventricular high voltage,0.5546218487394958,ChapmanShaoxing
minirocket,raw,7,left ventricular high voltage,0.5429864253393666,ChapmanShaoxing
minirocket,raw,8,left ventricular high voltage,0.5829596412556054,ChapmanShaoxing
minirocket,raw,9,left ventricular high voltage,0.4947368421052631,ChapmanShaoxing
minirocket,raw,10,left ventricular high voltage,0.6072874493927125,ChapmanShaoxing
minirocket,raw,11,left ventricular high voltage,0.5714285714285714,ChapmanShaoxing
minirocket,raw,12,left ventricular high voltage,0.4752475247524753,ChapmanShaoxing
minirocket,raw,13,left ventricular high voltage,0.5338983050847457,ChapmanShaoxing
minirocket,raw,14,left ventricular high voltage,0.5486725663716815,ChapmanShaoxing
minirocket,raw,15,left ventricular high voltage,0.6060606060606061,ChapmanShaoxing
minirocket,raw,16,left ventricular high voltage,0.5182186234817814,ChapmanShaoxing
minirocket,raw,17,left ventricular high voltage,0.5410628019323671,ChapmanShaoxing
minirocket,raw,18,left ventricular high voltage,0.5373134328358209,ChapmanShaoxing
minirocket,raw,19,left ventricular high voltage,0.5740740740740741,ChapmanShaoxing
minirocket,minmax,0,left ventricular high voltage,0.4910714285714286,ChapmanShaoxing
minirocket,minmax,1,left ventricular high voltage,0.6098654708520179,ChapmanShaoxing
minirocket,minmax,2,left ventricular high voltage,0.5914396887159532,ChapmanShaoxing
minirocket,minmax,3,left ventricular high voltage,0.5860805860805861,ChapmanShaoxing
minirocket,minmax,4,left ventricular high voltage,0.5674418604651162,ChapmanShaoxing
minirocket,minmax,5,left ventricular high voltage,0.6359832635983264,ChapmanShaoxing
minirocket,minmax,6,left ventricular high voltage,0.5410628019323671,ChapmanShaoxing
minirocket,minmax,7,left ventricular high voltage,0.5658914728682171,ChapmanShaoxing
minirocket,minmax,8,left ventricular high voltage,0.5991902834008097,ChapmanShaoxing
minirocket,minmax,9,left ventricular high voltage,0.4848484848484848,ChapmanShaoxing
minirocket,minmax,10,left ventricular high voltage,0.5381165919282511,ChapmanShaoxing
minirocket,minmax,11,left ventricular high voltage,0.4102564102564102,ChapmanShaoxing
minirocket,minmax,12,left ventricular high voltage,0.5294117647058824,ChapmanShaoxing
minirocket,minmax,13,left ventricular high voltage,0.5492227979274611,ChapmanShaoxing
minirocket,minmax,14,left ventricular high voltage,0.5309734513274337,ChapmanShaoxing
minirocket,minmax,15,left ventricular high voltage,0.5928571428571429,ChapmanShaoxing
minirocket,minmax,16,left ventricular high voltage,0.564885496183206,ChapmanShaoxing
minirocket,minmax,17,left ventricular high voltage,0.5384615384615384,ChapmanShaoxing
minirocket,minmax,18,left ventricular high voltage,0.6453900709219859,ChapmanShaoxing
minirocket,minmax,19,left ventricular high voltage,0.5931558935361216,ChapmanShaoxing
xresnet1d101,raw,0,left ventricular high voltage,0.6566037735849056,ChapmanShaoxing
xresnet1d101,raw,1,left ventricular high voltage,0.6762177650429799,ChapmanShaoxing
xresnet1d101,raw,2,left ventricular high voltage,0.7391304347826088,ChapmanShaoxing
xresnet1d101,raw,3,left ventricular high voltage,0.7228070175438596,ChapmanShaoxing
xresnet1d101,raw,4,left ventricular high voltage,0.6367713004484304,ChapmanShaoxing
xresnet1d101,raw,5,left ventricular high voltage,0.6375545851528385,ChapmanShaoxing
xresnet1d101,raw,6,left ventricular high voltage,0.7202797202797204,ChapmanShaoxing
xresnet1d101,raw,7,left ventricular high voltage,0.6986899563318777,ChapmanShaoxing
xresnet1d101,raw,8,left ventricular high voltage,0.7460317460317459,ChapmanShaoxing
xresnet1d101,raw,9,left ventricular high voltage,0.6587301587301587,ChapmanShaoxing
xresnet1d101,raw,10,left ventricular high voltage,0.6996466431095406,ChapmanShaoxing
xresnet1d101,raw,11,left ventricular high voltage,0.6666666666666667,ChapmanShaoxing
xresnet1d101,raw,12,left ventricular high voltage,0.5786802030456852,ChapmanShaoxing
xresnet1d101,raw,13,left ventricular high voltage,0.6851851851851852,ChapmanShaoxing
xresnet1d101,raw,14,left ventricular high voltage,0.7258687258687258,ChapmanShaoxing
xresnet1d101,raw,15,left ventricular high voltage,0.6724890829694323,ChapmanShaoxing
xresnet1d101,raw,16,left ventricular high voltage,0.7037037037037037,ChapmanShaoxing
xresnet1d101,raw,17,left ventricular high voltage,0.7191780821917809,ChapmanShaoxing
xresnet1d101,raw,18,left ventricular high voltage,0.6697674418604651,ChapmanShaoxing
xresnet1d101,raw,19,left ventricular high voltage,0.6741573033707865,ChapmanShaoxing
xresnet1d101,minmax,0,left ventricular high voltage,0.3736263736263736,ChapmanShaoxing
xresnet1d101,minmax,1,left ventricular high voltage,0.4776119402985074,ChapmanShaoxing
xresnet1d101,minmax,2,left ventricular high voltage,0.5267857142857143,ChapmanShaoxing
xresnet1d101,minmax,3,left ventricular high voltage,0.4568527918781726,ChapmanShaoxing
xresnet1d101,minmax,4,left ventricular high voltage,0.3170731707317073,ChapmanShaoxing
xresnet1d101,minmax,5,left ventricular high voltage,0.2597402597402597,ChapmanShaoxing
xresnet1d101,minmax,6,left ventricular high voltage,0.5209302325581394,ChapmanShaoxing
xresnet1d101,minmax,7,left ventricular high voltage,0.5310344827586208,ChapmanShaoxing
xresnet1d101,minmax,8,left ventricular high voltage,0.5308056872037915,ChapmanShaoxing
xresnet1d101,minmax,9,left ventricular high voltage,0.537878787878788,ChapmanShaoxing
xresnet1d101,minmax,10,left ventricular high voltage,0.4158415841584159,ChapmanShaoxing
xresnet1d101,minmax,11,left ventricular high voltage,0.375,ChapmanShaoxing
xresnet1d101,minmax,12,left ventricular high voltage,0.2709677419354838,ChapmanShaoxing
xresnet1d101,minmax,13,left ventricular high voltage,0.4976076555023923,ChapmanShaoxing
xresnet1d101,minmax,14,left ventricular high voltage,0.4293193717277487,ChapmanShaoxing
xresnet1d101,minmax,15,left ventricular high voltage,0.5084745762711864,ChapmanShaoxing
xresnet1d101,minmax,16,left ventricular high voltage,0.5083333333333333,ChapmanShaoxing
xresnet1d101,minmax,17,left ventricular high voltage,0.4766839378238342,ChapmanShaoxing
xresnet1d101,minmax,18,left ventricular high voltage,0.427807486631016,ChapmanShaoxing
xresnet1d101,minmax,19,left ventricular high voltage,0.423963133640553,ChapmanShaoxing
inception,raw,0,nonspecific st t abnormality,0.5539906103286385,ChapmanShaoxing
inception,raw,1,nonspecific st t abnormality,0.5714285714285715,ChapmanShaoxing
inception,raw,2,nonspecific st t abnormality,0.5671641791044776,ChapmanShaoxing
inception,raw,3,nonspecific st t abnormality,0.4805194805194805,ChapmanShaoxing
inception,raw,4,nonspecific st t abnormality,0.5714285714285715,ChapmanShaoxing
inception,raw,5,nonspecific st t abnormality,0.5517241379310345,ChapmanShaoxing
inception,raw,6,nonspecific st t abnormality,0.5310734463276836,ChapmanShaoxing
inception,raw,7,nonspecific st t abnormality,0.5683060109289617,ChapmanShaoxing
inception,raw,8,nonspecific st t abnormality,0.5146198830409356,ChapmanShaoxing
inception,raw,9,nonspecific st t abnormality,0.6129032258064515,ChapmanShaoxing
inception,raw,10,nonspecific st t abnormality,0.5913978494623656,ChapmanShaoxing
inception,raw,11,nonspecific st t abnormality,0.574468085106383,ChapmanShaoxing
inception,raw,12,nonspecific st t abnormality,0.5599999999999999,ChapmanShaoxing
inception,raw,13,nonspecific st t abnormality,0.6162162162162161,ChapmanShaoxing
inception,raw,14,nonspecific st t abnormality,0.5858585858585857,ChapmanShaoxing
inception,raw,15,nonspecific st t abnormality,0.5222929936305732,ChapmanShaoxing
inception,raw,16,nonspecific st t abnormality,0.5371428571428571,ChapmanShaoxing
inception,raw,17,nonspecific st t abnormality,0.4383561643835616,ChapmanShaoxing
inception,raw,18,nonspecific st t abnormality,0.572972972972973,ChapmanShaoxing
inception,raw,19,nonspecific st t abnormality,0.5405405405405405,ChapmanShaoxing
inception,minmax,0,nonspecific st t abnormality,0.4508670520231214,ChapmanShaoxing
inception,minmax,1,nonspecific st t abnormality,0.5583756345177665,ChapmanShaoxing
inception,minmax,2,nonspecific st t abnormality,0.4972375690607735,ChapmanShaoxing
inception,minmax,3,nonspecific st t abnormality,0.5436893203883495,ChapmanShaoxing
inception,minmax,4,nonspecific st t abnormality,0.463276836158192,ChapmanShaoxing
inception,minmax,5,nonspecific st t abnormality,0.4594594594594595,ChapmanShaoxing
inception,minmax,6,nonspecific st t abnormality,0.5510204081632654,ChapmanShaoxing
inception,minmax,7,nonspecific st t abnormality,0.5106382978723404,ChapmanShaoxing
inception,minmax,8,nonspecific st t abnormality,0.5402298850574712,ChapmanShaoxing
inception,minmax,9,nonspecific st t abnormality,0.5517241379310345,ChapmanShaoxing
inception,minmax,10,nonspecific st t abnormality,0.5234899328859061,ChapmanShaoxing
inception,minmax,11,nonspecific st t abnormality,0.5108225108225108,ChapmanShaoxing
inception,minmax,12,nonspecific st t abnormality,0.4571428571428571,ChapmanShaoxing
inception,minmax,13,nonspecific st t abnormality,0.4,ChapmanShaoxing
inception,minmax,14,nonspecific st t abnormality,0.4900662251655629,ChapmanShaoxing
inception,minmax,15,nonspecific st t abnormality,0.5617977528089888,ChapmanShaoxing
inception,minmax,16,nonspecific st t abnormality,0.4539877300613497,ChapmanShaoxing
inception,minmax,17,nonspecific st t abnormality,0.4606060606060606,ChapmanShaoxing
inception,minmax,18,nonspecific st t abnormality,0.5497076023391813,ChapmanShaoxing
inception,minmax,19,nonspecific st t abnormality,0.4914285714285714,ChapmanShaoxing
minirocket,raw,0,nonspecific st t abnormality,0.5531914893617023,ChapmanShaoxing
minirocket,raw,1,nonspecific st t abnormality,0.5681818181818182,ChapmanShaoxing
minirocket,raw,2,nonspecific st t abnormality,0.5102040816326531,ChapmanShaoxing
minirocket,raw,3,nonspecific st t abnormality,0.5609756097560976,ChapmanShaoxing
minirocket,raw,4,nonspecific st t abnormality,0.4855491329479768,ChapmanShaoxing
minirocket,raw,5,nonspecific st t abnormality,0.5174129353233831,ChapmanShaoxing
minirocket,raw,6,nonspecific st t abnormality,0.4482758620689655,ChapmanShaoxing
minirocket,raw,7,nonspecific st t abnormality,0.5517241379310345,ChapmanShaoxing
minirocket,raw,8,nonspecific st t abnormality,0.4561403508771929,ChapmanShaoxing
minirocket,raw,9,nonspecific st t abnormality,0.5631067961165048,ChapmanShaoxing
minirocket,raw,10,nonspecific st t abnormality,0.5964912280701754,ChapmanShaoxing
minirocket,raw,11,nonspecific st t abnormality,0.5786802030456853,ChapmanShaoxing
minirocket,raw,12,nonspecific st t abnormality,0.582010582010582,ChapmanShaoxing
minirocket,raw,13,nonspecific st t abnormality,0.61,ChapmanShaoxing
minirocket,raw,14,nonspecific st t abnormality,0.5714285714285714,ChapmanShaoxing
minirocket,raw,15,nonspecific st t abnormality,0.4883720930232558,ChapmanShaoxing
minirocket,raw,16,nonspecific st t abnormality,0.5970149253731343,ChapmanShaoxing
minirocket,raw,17,nonspecific st t abnormality,0.5194805194805194,ChapmanShaoxing
minirocket,raw,18,nonspecific st t abnormality,0.4951456310679611,ChapmanShaoxing
minirocket,raw,19,nonspecific st t abnormality,0.588888888888889,ChapmanShaoxing
minirocket,minmax,0,nonspecific st t abnormality,0.5353535353535354,ChapmanShaoxing
minirocket,minmax,1,nonspecific st t abnormality,0.4739884393063583,ChapmanShaoxing
minirocket,minmax,2,nonspecific st t abnormality,0.5028571428571429,ChapmanShaoxing
minirocket,minmax,3,nonspecific st t abnormality,0.5212765957446808,ChapmanShaoxing
minirocket,minmax,4,nonspecific st t abnormality,0.5167464114832536,ChapmanShaoxing
minirocket,minmax,5,nonspecific st t abnormality,0.5670103092783506,ChapmanShaoxing
minirocket,minmax,6,nonspecific st t abnormality,0.5625000000000001,ChapmanShaoxing
minirocket,minmax,7,nonspecific st t abnormality,0.4886363636363636,ChapmanShaoxing
minirocket,minmax,8,nonspecific st t abnormality,0.5411764705882354,ChapmanShaoxing
minirocket,minmax,9,nonspecific st t abnormality,0.5202312138728323,ChapmanShaoxing
minirocket,minmax,10,nonspecific st t abnormality,0.5833333333333334,ChapmanShaoxing
minirocket,minmax,11,nonspecific st t abnormality,0.5572139303482587,ChapmanShaoxing
minirocket,minmax,12,nonspecific st t abnormality,0.3707865168539325,ChapmanShaoxing
minirocket,minmax,13,nonspecific st t abnormality,0.5524861878453038,ChapmanShaoxing
minirocket,minmax,14,nonspecific st t abnormality,0.4768211920529802,ChapmanShaoxing
minirocket,minmax,15,nonspecific st t abnormality,0.5485714285714285,ChapmanShaoxing
minirocket,minmax,16,nonspecific st t abnormality,0.5294117647058824,ChapmanShaoxing
minirocket,minmax,17,nonspecific st t abnormality,0.5699481865284974,ChapmanShaoxing
minirocket,minmax,18,nonspecific st t abnormality,0.5192307692307693,ChapmanShaoxing
minirocket,minmax,19,nonspecific st t abnormality,0.5164835164835165,ChapmanShaoxing
xresnet1d101,raw,0,nonspecific st t abnormality,0.4534883720930232,ChapmanShaoxing
xresnet1d101,raw,1,nonspecific st t abnormality,0.5398773006134969,ChapmanShaoxing
xresnet1d101,raw,2,nonspecific st t abnormality,0.5308641975308642,ChapmanShaoxing
xresnet1d101,raw,3,nonspecific st t abnormality,0.5358851674641149,ChapmanShaoxing
xresnet1d101,raw,4,nonspecific st t abnormality,0.5658536585365854,ChapmanShaoxing
xresnet1d101,raw,5,nonspecific st t abnormality,0.5730994152046783,ChapmanShaoxing
xresnet1d101,raw,6,nonspecific st t abnormality,0.5287356321839081,ChapmanShaoxing
xresnet1d101,raw,7,nonspecific st t abnormality,0.5389221556886228,ChapmanShaoxing
xresnet1d101,raw,8,nonspecific st t abnormality,0.5060240963855421,ChapmanShaoxing
xresnet1d101,raw,9,nonspecific st t abnormality,0.4969696969696969,ChapmanShaoxing
xresnet1d101,raw,10,nonspecific st t abnormality,0.4827586206896551,ChapmanShaoxing
xresnet1d101,raw,11,nonspecific st t abnormality,0.5957446808510639,ChapmanShaoxing
xresnet1d101,raw,12,nonspecific st t abnormality,0.5029239766081871,ChapmanShaoxing
xresnet1d101,raw,13,nonspecific st t abnormality,0.5562130177514792,ChapmanShaoxing
xresnet1d101,raw,14,nonspecific st t abnormality,0.5876288659793814,ChapmanShaoxing
xresnet1d101,raw,15,nonspecific st t abnormality,0.5714285714285713,ChapmanShaoxing
xresnet1d101,raw,16,nonspecific st t abnormality,0.488095238095238,ChapmanShaoxing
xresnet1d101,raw,17,nonspecific st t abnormality,0.5542168674698795,ChapmanShaoxing
xresnet1d101,raw,18,nonspecific st t abnormality,0.4868421052631578,ChapmanShaoxing
xresnet1d101,raw,19,nonspecific st t abnormality,0.5698924731182796,ChapmanShaoxing
xresnet1d101,minmax,0,nonspecific st t abnormality,0.5636363636363637,ChapmanShaoxing
xresnet1d101,minmax,1,nonspecific st t abnormality,0.5810055865921788,ChapmanShaoxing
