disease,F1,model,rate,dataset,bootstrap_num
left ventricular high voltage,0.5258215962441315,minirocket,250.0,ChapmanShaoxing,0
left ventricular high voltage,0.5844748858447488,minirocket,250.0,ChapmanShaoxing,1
left ventricular high voltage,0.5391304347826086,minirocket,250.0,ChapmanShaoxing,2
left ventricular high voltage,0.6147186147186147,minirocket,250.0,ChapmanShaoxing,3
left ventricular high voltage,0.4422110552763819,minirocket,250.0,ChapmanShaoxing,4
left ventricular high voltage,0.5555555555555556,minirocket,250.0,ChapmanShaoxing,5
left ventricular high voltage,0.6,minirocket,250.0,ChapmanShaoxing,6
left ventricular high voltage,0.591304347826087,minirocket,250.0,ChapmanShaoxing,7
left ventricular high voltage,0.5633802816901409,minirocket,250.0,ChapmanShaoxing,8
left ventricular high voltage,0.5674418604651162,minirocket,250.0,ChapmanShaoxing,9
left ventricular high voltage,0.5567010309278351,minirocket,250.0,ChapmanShaoxing,10
left ventricular high voltage,0.5490196078431372,minirocket,250.0,ChapmanShaoxing,11
left ventricular high voltage,0.5142857142857142,minirocket,250.0,ChapmanShaoxing,12
left ventricular high voltage,0.5283018867924528,minirocket,250.0,ChapmanShaoxing,13
left ventricular high voltage,0.6386554621848739,minirocket,250.0,ChapmanShaoxing,14
left ventricular high voltage,0.5196078431372549,minirocket,250.0,ChapmanShaoxing,15
left ventricular high voltage,0.6102941176470588,minirocket,250.0,ChapmanShaoxing,16
left ventricular high voltage,0.6153846153846154,minirocket,250.0,ChapmanShaoxing,17
left ventricular high voltage,0.4502617801047121,minirocket,250.0,ChapmanShaoxing,18
left ventricular high voltage,0.5033557046979865,minirocket,250.0,ChapmanShaoxing,19
left ventricular high voltage,0.5671641791044776,minirocket,375.0,ChapmanShaoxing,0
left ventricular high voltage,0.5302325581395348,minirocket,375.0,ChapmanShaoxing,1
left ventricular high voltage,0.5896414342629482,minirocket,375.0,ChapmanShaoxing,2
left ventricular high voltage,0.5074626865671642,minirocket,375.0,ChapmanShaoxing,3
left ventricular high voltage,0.4848484848484848,minirocket,375.0,ChapmanShaoxing,4
left ventricular high voltage,0.5909090909090909,minirocket,375.0,ChapmanShaoxing,5
left ventricular high voltage,0.5603448275862069,minirocket,375.0,ChapmanShaoxing,6
left ventricular high voltage,0.5606060606060606,minirocket,375.0,ChapmanShaoxing,7
left ventricular high voltage,0.5164319248826292,minirocket,375.0,ChapmanShaoxing,8
left ventricular high voltage,0.5625,minirocket,375.0,ChapmanShaoxing,9
left ventricular high voltage,0.5991561181434599,minirocket,375.0,ChapmanShaoxing,10
left ventricular high voltage,0.6337448559670782,minirocket,375.0,ChapmanShaoxing,11
left ventricular high voltage,0.5964912280701754,minirocket,375.0,ChapmanShaoxing,12
left ventricular high voltage,0.287292817679558,minirocket,375.0,ChapmanShaoxing,13
left ventricular high voltage,0.5589519650655022,minirocket,375.0,ChapmanShaoxing,14
left ventricular high voltage,0.6039215686274509,minirocket,375.0,ChapmanShaoxing,15
left ventricular high voltage,0.5581395348837209,minirocket,375.0,ChapmanShaoxing,16
left ventricular high voltage,0.5378151260504201,minirocket,375.0,ChapmanShaoxing,17
left ventricular high voltage,0.6124031007751937,minirocket,375.0,ChapmanShaoxing,18
left ventricular high voltage,0.5901639344262296,minirocket,375.0,ChapmanShaoxing,19
left ventricular high voltage,0.4910714285714286,minirocket,500.0,ChapmanShaoxing,0
left ventricular high voltage,0.6098654708520179,minirocket,500.0,ChapmanShaoxing,1
left ventricular high voltage,0.5914396887159532,minirocket,500.0,ChapmanShaoxing,2
left ventricular high voltage,0.5860805860805861,minirocket,500.0,ChapmanShaoxing,3
left ventricular high voltage,0.5674418604651162,minirocket,500.0,ChapmanShaoxing,4
left ventricular high voltage,0.6359832635983264,minirocket,500.0,ChapmanShaoxing,5
left ventricular high voltage,0.5410628019323671,minirocket,500.0,ChapmanShaoxing,6
left ventricular high voltage,0.5658914728682171,minirocket,500.0,ChapmanShaoxing,7
left ventricular high voltage,0.5991902834008097,minirocket,500.0,ChapmanShaoxing,8
left ventricular high voltage,0.4848484848484848,minirocket,500.0,ChapmanShaoxing,9
left ventricular high voltage,0.5381165919282511,minirocket,500.0,ChapmanShaoxing,10
left ventricular high voltage,0.4102564102564102,minirocket,500.0,ChapmanShaoxing,11
left ventricular high voltage,0.5294117647058824,minirocket,500.0,ChapmanShaoxing,12
left ventricular high voltage,0.5492227979274611,minirocket,500.0,ChapmanShaoxing,13
left ventricular high voltage,0.5309734513274337,minirocket,500.0,ChapmanShaoxing,14
left ventricular high voltage,0.5928571428571429,minirocket,500.0,ChapmanShaoxing,15
left ventricular high voltage,0.564885496183206,minirocket,500.0,ChapmanShaoxing,16
left ventricular high voltage,0.5384615384615384,minirocket,500.0,ChapmanShaoxing,17
left ventricular high voltage,0.6453900709219859,minirocket,500.0,ChapmanShaoxing,18
left ventricular high voltage,0.5931558935361216,minirocket,500.0,ChapmanShaoxing,19
nonspecific st t abnormality,0.4321608040201005,minirocket,50.0,ChapmanShaoxing,0
nonspecific st t abnormality,0.5588235294117646,minirocket,50.0,ChapmanShaoxing,1
nonspecific st t abnormality,0.4508670520231214,minirocket,50.0,ChapmanShaoxing,2
nonspecific st t abnormality,0.5221674876847291,minirocket,50.0,ChapmanShaoxing,3
nonspecific st t abnormality,0.5240174672489083,minirocket,50.0,ChapmanShaoxing,4
nonspecific st t abnormality,0.5339805825242718,minirocket,50.0,ChapmanShaoxing,5
nonspecific st t abnormality,0.5388127853881278,minirocket,50.0,ChapmanShaoxing,6
nonspecific st t abnormality,0.5786802030456853,minirocket,50.0,ChapmanShaoxing,7
nonspecific st t abnormality,0.5514018691588786,minirocket,50.0,ChapmanShaoxing,8
nonspecific st t abnormality,0.5568181818181819,minirocket,50.0,ChapmanShaoxing,9
nonspecific st t abnormality,0.5714285714285714,minirocket,50.0,ChapmanShaoxing,10
nonspecific st t abnormality,0.5628140703517588,minirocket,50.0,ChapmanShaoxing,11
nonspecific st t abnormality,0.5217391304347826,minirocket,50.0,ChapmanShaoxing,12
nonspecific st t abnormality,0.6073298429319371,minirocket,50.0,ChapmanShaoxing,13
nonspecific st t abnormality,0.5533980582524272,minirocket,50.0,ChapmanShaoxing,14
nonspecific st t abnormality,0.5570776255707762,minirocket,50.0,ChapmanShaoxing,15
nonspecific st t abnormality,0.5303867403314917,minirocket,50.0,ChapmanShaoxing,16
nonspecific st t abnormality,0.5393258426966293,minirocket,50.0,ChapmanShaoxing,17
nonspecific st t abnormality,0.5714285714285714,minirocket,50.0,ChapmanShaoxing,18
nonspecific st t abnormality,0.4736842105263158,minirocket,50.0,ChapmanShaoxing,19
nonspecific st t abnormality,0.5377358490566037,minirocket,125.0,ChapmanShaoxing,0
nonspecific st t abnormality,0.5227272727272727,minirocket,125.0,ChapmanShaoxing,1
nonspecific st t abnormality,0.5193370165745855,minirocket,125.0,ChapmanShaoxing,2
nonspecific st t abnormality,0.4914285714285714,minirocket,125.0,ChapmanShaoxing,3
nonspecific st t abnormality,0.4864864864864864,minirocket,125.0,ChapmanShaoxing,4
nonspecific st t abnormality,0.5357142857142857,minirocket,125.0,ChapmanShaoxing,5
nonspecific st t abnormality,0.4973544973544973,minirocket,125.0,ChapmanShaoxing,6
nonspecific st t abnormality,0.5176470588235295,minirocket,125.0,ChapmanShaoxing,7
nonspecific st t abnormality,0.5,minirocket,125.0,ChapmanShaoxing,8
nonspecific st t abnormality,0.5161290322580644,minirocket,125.0,ChapmanShaoxing,9
nonspecific st t abnormality,0.5482233502538071,minirocket,125.0,ChapmanShaoxing,10
nonspecific st t abnormality,0.5347593582887701,minirocket,125.0,ChapmanShaoxing,11
nonspecific st t abnormality,0.5280898876404494,minirocket,125.0,ChapmanShaoxing,12
nonspecific st t abnormality,0.5792349726775956,minirocket,125.0,ChapmanShaoxing,13
nonspecific st t abnormality,0.4623655913978495,minirocket,125.0,ChapmanShaoxing,14
nonspecific st t abnormality,0.5054945054945056,minirocket,125.0,ChapmanShaoxing,15
nonspecific st t abnormality,0.495049504950495,minirocket,125.0,ChapmanShaoxing,16
nonspecific st t abnormality,0.5353535353535354,minirocket,125.0,ChapmanShaoxing,17
nonspecific st t abnormality,0.4519774011299435,minirocket,125.0,ChapmanShaoxing,18
nonspecific st t abnormality,0.5654450261780104,minirocket,125.0,ChapmanShaoxing,19
nonspecific st t abnormality,0.4723618090452262,minirocket,250.0,ChapmanShaoxing,0
nonspecific st t abnormality,0.5027932960893855,minirocket,250.0,ChapmanShaoxing,1
nonspecific st t abnormality,0.5714285714285713,minirocket,250.0,ChapmanShaoxing,2
nonspecific st t abnormality,0.5193370165745855,minirocket,250.0,ChapmanShaoxing,3
nonspecific st t abnormality,0.5026178010471205,minirocket,250.0,ChapmanShaoxing,4
nonspecific st t abnormality,0.543778801843318,minirocket,250.0,ChapmanShaoxing,5
nonspecific st t abnormality,0.5056179775280899,minirocket,250.0,ChapmanShaoxing,6
nonspecific st t abnormality,0.4275862068965517,minirocket,250.0,ChapmanShaoxing,7
nonspecific st t abnormality,0.5384615384615384,minirocket,250.0,ChapmanShaoxing,8
nonspecific st t abnormality,0.6000000000000001,minirocket,250.0,ChapmanShaoxing,9
nonspecific st t abnormality,0.5,minirocket,250.0,ChapmanShaoxing,10
nonspecific st t abnormality,0.5473684210526315,minirocket,250.0,ChapmanShaoxing,11
nonspecific st t abnormality,0.5465116279069767,minirocket,250.0,ChapmanShaoxing,12
nonspecific st t abnormality,0.4888888888888889,minirocket,250.0,ChapmanShaoxing,13
nonspecific st t abnormality,0.5487804878048781,minirocket,250.0,ChapmanShaoxing,14
nonspecific st t abnormality,0.5847953216374269,minirocket,250.0,ChapmanShaoxing,15
nonspecific st t abnormality,0.5573770491803278,minirocket,250.0,ChapmanShaoxing,16
nonspecific st t abnormality,0.5607476635514018,minirocket,250.0,ChapmanShaoxing,17
nonspecific st t abnormality,0.5263157894736842,minirocket,250.0,ChapmanShaoxing,18
nonspecific st t abnormality,0.4457831325301205,minirocket,250.0,ChapmanShaoxing,19
nonspecific st t abnormality,0.5635359116022101,minirocket,375.0,ChapmanShaoxing,0
nonspecific st t abnormality,0.5494505494505494,minirocket,375.0,ChapmanShaoxing,1
nonspecific st t abnormality,0.5454545454545455,minirocket,375.0,ChapmanShaoxing,2
nonspecific st t abnormality,0.5222222222222221,minirocket,375.0,ChapmanShaoxing,3
nonspecific st t abnormality,0.5197740112994351,minirocket,375.0,ChapmanShaoxing,4
nonspecific st t abnormality,0.5393258426966293,minirocket,375.0,ChapmanShaoxing,5
nonspecific st t abnormality,0.493723849372385,minirocket,375.0,ChapmanShaoxing,6
nonspecific st t abnormality,0.5227272727272727,minirocket,375.0,ChapmanShaoxing,7
nonspecific st t abnormality,0.5164835164835165,minirocket,375.0,ChapmanShaoxing,8
nonspecific st t abnormality,0.5317919075144509,minirocket,375.0,ChapmanShaoxing,9
nonspecific st t abnormality,0.504424778761062,minirocket,375.0,ChapmanShaoxing,10
nonspecific st t abnormality,0.5,minirocket,375.0,ChapmanShaoxing,11
nonspecific st t abnormality,0.5026178010471205,minirocket,375.0,ChapmanShaoxing,12
nonspecific st t abnormality,0.5346534653465347,minirocket,375.0,ChapmanShaoxing,13
nonspecific st t abnormality,0.5056179775280899,minirocket,375.0,ChapmanShaoxing,14
nonspecific st t abnormality,0.5308056872037915,minirocket,375.0,ChapmanShaoxing,15
nonspecific st t abnormality,0.4578313253012048,minirocket,375.0,ChapmanShaoxing,16
nonspecific st t abnormality,0.5517241379310345,minirocket,375.0,ChapmanShaoxing,17
nonspecific st t abnormality,0.5217391304347826,minirocket,375.0,ChapmanShaoxing,18
nonspecific st t abnormality,0.5222222222222221,minirocket,375.0,ChapmanShaoxing,19
nonspecific st t abnormality,0.5353535353535354,minirocket,500.0,ChapmanShaoxing,0
nonspecific st t abnormality,0.4739884393063583,minirocket,500.0,ChapmanShaoxing,1
nonspecific st t abnormality,0.5028571428571429,minirocket,500.0,ChapmanShaoxing,2
nonspecific st t abnormality,0.5212765957446808,minirocket,500.0,ChapmanShaoxing,3
nonspecific st t abnormality,0.5167464114832536,minirocket,500.0,ChapmanShaoxing,4
nonspecific st t abnormality,0.5670103092783506,minirocket,500.0,ChapmanShaoxing,5
nonspecific st t abnormality,0.5625000000000001,minirocket,500.0,ChapmanShaoxing,6
nonspecific st t abnormality,0.4886363636363636,minirocket,500.0,ChapmanShaoxing,7
nonspecific st t abnormality,0.5411764705882354,minirocket,500.0,ChapmanShaoxing,8
nonspecific st t abnormality,0.5202312138728323,minirocket,500.0,ChapmanShaoxing,9
nonspecific st t abnormality,0.5833333333333334,minirocket,500.0,ChapmanShaoxing,10
nonspecific st t abnormality,0.5572139303482587,minirocket,500.0,ChapmanShaoxing,11
nonspecific st t abnormality,0.3707865168539325,minirocket,500.0,ChapmanShaoxing,12
nonspecific st t abnormality,0.5524861878453038,minirocket,500.0,ChapmanShaoxing,13
nonspecific st t abnormality,0.4768211920529802,minirocket,500.0,ChapmanShaoxing,14
nonspecific st t abnormality,0.5485714285714285,minirocket,500.0,ChapmanShaoxing,15
nonspecific st t abnormality,0.5294117647058824,minirocket,500.0,ChapmanShaoxing,16
nonspecific st t abnormality,0.5699481865284974,minirocket,500.0,ChapmanShaoxing,17
nonspecific st t abnormality,0.5192307692307693,minirocket,500.0,ChapmanShaoxing,18
nonspecific st t abnormality,0.5164835164835165,minirocket,500.0,ChapmanShaoxing,19
sinus bradycardia,0.9794344473007712,minirocket,50.0,ChapmanShaoxing,0
sinus bradycardia,0.9870801033591732,minirocket,50.0,ChapmanShaoxing,1
sinus bradycardia,0.9769820971867008,minirocket,50.0,ChapmanShaoxing,2
sinus bradycardia,0.978120978120978,minirocket,50.0,ChapmanShaoxing,3
sinus bradycardia,0.987146529562982,minirocket,50.0,ChapmanShaoxing,4
sinus bradycardia,0.979328165374677,minirocket,50.0,ChapmanShaoxing,5
sinus bradycardia,0.9758576874205844,minirocket,50.0,ChapmanShaoxing,6
sinus bradycardia,0.9844559585492229,minirocket,50.0,ChapmanShaoxing,7
sinus bradycardia,0.9832689832689832,minirocket,50.0,ChapmanShaoxing,8
sinus bradycardia,0.987146529562982,minirocket,50.0,ChapmanShaoxing,9
sinus bradycardia,0.9846153846153846,minirocket,50.0,ChapmanShaoxing,10
sinus bradycardia,0.975483870967742,minirocket,50.0,ChapmanShaoxing,11
sinus bradycardia,0.9870801033591732,minirocket,50.0,ChapmanShaoxing,12
sinus bradycardia,0.9768041237113402,minirocket,50.0,ChapmanShaoxing,13
sinus bradycardia,0.9845360824742267,minirocket,50.0,ChapmanShaoxing,14
sinus bradycardia,0.9859154929577464,minirocket,50.0,ChapmanShaoxing,15
sinus bradycardia,0.9846153846153846,minirocket,50.0,ChapmanShaoxing,16
sinus bradycardia,0.9820971867007672,minirocket,50.0,ChapmanShaoxing,17
sinus bradycardia,0.9778357235984352,minirocket,50.0,ChapmanShaoxing,18
sinus bradycardia,0.9858064516129031,minirocket,50.0,ChapmanShaoxing,19
sinus bradycardia,0.9859514687100894,minirocket,125.0,ChapmanShaoxing,0
sinus bradycardia,0.9833119383825416,minirocket,125.0,ChapmanShaoxing,1
sinus bradycardia,0.9884169884169884,minirocket,125.0,ChapmanShaoxing,2
sinus bradycardia,0.9845758354755784,minirocket,125.0,ChapmanShaoxing,3
sinus bradycardia,0.979539641943734,minirocket,125.0,ChapmanShaoxing,4
sinus bradycardia,0.9726918075422628,minirocket,125.0,ChapmanShaoxing,5
sinus bradycardia,0.9821428571428572,minirocket,125.0,ChapmanShaoxing,6
sinus bradycardia,0.982005141388175,minirocket,125.0,ChapmanShaoxing,7
sinus bradycardia,0.9782886334610472,minirocket,125.0,ChapmanShaoxing,8
sinus bradycardia,0.9884467265725289,minirocket,125.0,ChapmanShaoxing,9
sinus bradycardia,0.990967741935484,minirocket,125.0,ChapmanShaoxing,10
sinus bradycardia,0.9645569620253164,minirocket,125.0,ChapmanShaoxing,11
sinus bradycardia,0.9883570504527814,minirocket,125.0,ChapmanShaoxing,12
sinus bradycardia,0.9871794871794872,minirocket,125.0,ChapmanShaoxing,13
sinus bradycardia,0.9897172236503856,minirocket,125.0,ChapmanShaoxing,14
sinus bradycardia,0.9858793324775352,minirocket,125.0,ChapmanShaoxing,15
sinus bradycardia,0.975918884664132,minirocket,125.0,ChapmanShaoxing,16
sinus bradycardia,0.9871134020618556,minirocket,125.0,ChapmanShaoxing,17
sinus bradycardia,0.9833546734955186,minirocket,125.0,ChapmanShaoxing,18
sinus bradycardia,0.9806949806949806,minirocket,125.0,ChapmanShaoxing,19
