model,lp,bootstrap_num,disease,F1,dataset
inception,50.0,15,atrial fibrillation,0.9180327868852458,ChapmanShaoxing
inception,50.0,16,atrial fibrillation,0.8629441624365483,ChapmanShaoxing
inception,50.0,17,atrial fibrillation,0.9146005509641872,ChapmanShaoxing
inception,50.0,18,atrial fibrillation,0.9287749287749288,ChapmanShaoxing
inception,50.0,19,atrial fibrillation,0.9178470254957508,ChapmanShaoxing
inception,100.0,0,atrial fibrillation,0.8848167539267016,ChapmanShaoxing
inception,100.0,1,atrial fibrillation,0.904255319148936,ChapmanShaoxing
inception,100.0,2,atrial fibrillation,0.907103825136612,ChapmanShaoxing
inception,100.0,3,atrial fibrillation,0.9018567639257294,ChapmanShaoxing
inception,100.0,4,atrial fibrillation,0.9105691056910568,ChapmanShaoxing
inception,100.0,5,atrial fibrillation,0.9106628242074928,ChapmanShaoxing
inception,100.0,6,atrial fibrillation,0.9186046511627908,ChapmanShaoxing
inception,100.0,7,atrial fibrillation,0.9002849002849003,ChapmanShaoxing
inception,100.0,8,atrial fibrillation,0.9110512129380054,ChapmanShaoxing
inception,100.0,9,atrial fibrillation,0.9076086956521738,ChapmanShaoxing
inception,100.0,10,atrial fibrillation,0.8839779005524863,ChapmanShaoxing
inception,100.0,11,atrial fibrillation,0.9116022099447514,ChapmanShaoxing
inception,100.0,12,atrial fibrillation,0.9005847953216375,ChapmanShaoxing
inception,100.0,13,atrial fibrillation,0.9131652661064426,ChapmanShaoxing
inception,100.0,14,atrial fibrillation,0.9132947976878614,ChapmanShaoxing
inception,100.0,15,atrial fibrillation,0.8934911242603552,ChapmanShaoxing
inception,100.0,16,atrial fibrillation,0.8853333333333334,ChapmanShaoxing
inception,100.0,17,atrial fibrillation,0.8490566037735849,ChapmanShaoxing
inception,100.0,18,atrial fibrillation,0.8991354466858789,ChapmanShaoxing
inception,100.0,19,atrial fibrillation,0.8771929824561402,ChapmanShaoxing
inception,500.0,0,atrial fibrillation,0.8849557522123893,ChapmanShaoxing
inception,500.0,1,atrial fibrillation,0.9120879120879122,ChapmanShaoxing
inception,500.0,2,atrial fibrillation,0.9121813031161472,ChapmanShaoxing
inception,500.0,3,atrial fibrillation,0.8923884514435696,ChapmanShaoxing
inception,500.0,4,atrial fibrillation,0.9017341040462428,ChapmanShaoxing
inception,500.0,5,atrial fibrillation,0.8846153846153846,ChapmanShaoxing
inception,500.0,6,atrial fibrillation,0.9183098591549296,ChapmanShaoxing
inception,500.0,7,atrial fibrillation,0.8876404494382022,ChapmanShaoxing
inception,500.0,8,atrial fibrillation,0.8682634730538923,ChapmanShaoxing
inception,500.0,9,atrial fibrillation,0.8757396449704142,ChapmanShaoxing
inception,500.0,10,atrial fibrillation,0.8615384615384616,ChapmanShaoxing
inception,500.0,11,atrial fibrillation,0.8977272727272727,ChapmanShaoxing
inception,500.0,12,atrial fibrillation,0.9181286549707602,ChapmanShaoxing
inception,500.0,13,atrial fibrillation,0.8779069767441862,ChapmanShaoxing
inception,500.0,14,atrial fibrillation,0.8895348837209303,ChapmanShaoxing
inception,500.0,15,atrial fibrillation,0.8857938718662953,ChapmanShaoxing
inception,500.0,16,atrial fibrillation,0.906515580736544,ChapmanShaoxing
inception,500.0,17,atrial fibrillation,0.913649025069638,ChapmanShaoxing
inception,500.0,18,atrial fibrillation,0.8977272727272727,ChapmanShaoxing
inception,500.0,19,atrial fibrillation,0.8870967741935484,ChapmanShaoxing
minirocket,30.0,0,atrial fibrillation,0.88268156424581,ChapmanShaoxing
minirocket,30.0,1,atrial fibrillation,0.8825214899713467,ChapmanShaoxing
minirocket,30.0,2,atrial fibrillation,0.8562874251497007,ChapmanShaoxing
minirocket,30.0,3,atrial fibrillation,0.8636363636363636,ChapmanShaoxing
minirocket,30.0,4,atrial fibrillation,0.8770949720670391,ChapmanShaoxing
minirocket,30.0,5,atrial fibrillation,0.8746518105849582,ChapmanShaoxing
minirocket,30.0,6,atrial fibrillation,0.8513119533527697,ChapmanShaoxing
minirocket,30.0,7,atrial fibrillation,0.8532608695652175,ChapmanShaoxing
minirocket,30.0,8,atrial fibrillation,0.8445747800586512,ChapmanShaoxing
minirocket,30.0,9,atrial fibrillation,0.8521739130434782,ChapmanShaoxing
minirocket,30.0,10,atrial fibrillation,0.8392370572207083,ChapmanShaoxing
minirocket,30.0,11,atrial fibrillation,0.8882521489971347,ChapmanShaoxing
minirocket,30.0,12,atrial fibrillation,0.8498583569405099,ChapmanShaoxing
minirocket,30.0,13,atrial fibrillation,0.8579710144927536,ChapmanShaoxing
minirocket,30.0,14,atrial fibrillation,0.856338028169014,ChapmanShaoxing
minirocket,30.0,15,atrial fibrillation,0.8409090909090908,ChapmanShaoxing
minirocket,30.0,16,atrial fibrillation,0.8217522658610273,ChapmanShaoxing
minirocket,30.0,17,atrial fibrillation,0.8277777777777778,ChapmanShaoxing
minirocket,30.0,18,atrial fibrillation,0.8257372654155495,ChapmanShaoxing
minirocket,30.0,19,atrial fibrillation,0.8066298342541436,ChapmanShaoxing
minirocket,50.0,0,atrial fibrillation,0.8531855955678669,ChapmanShaoxing
minirocket,50.0,1,atrial fibrillation,0.8010899182561307,ChapmanShaoxing
minirocket,50.0,2,atrial fibrillation,0.8760806916426512,ChapmanShaoxing
minirocket,50.0,3,atrial fibrillation,0.8545994065281901,ChapmanShaoxing
minirocket,50.0,4,atrial fibrillation,0.8534031413612566,ChapmanShaoxing
minirocket,50.0,5,atrial fibrillation,0.8685714285714285,ChapmanShaoxing
minirocket,50.0,6,atrial fibrillation,0.8771929824561402,ChapmanShaoxing
minirocket,50.0,7,atrial fibrillation,0.855457227138643,ChapmanShaoxing
minirocket,50.0,8,atrial fibrillation,0.872093023255814,ChapmanShaoxing
minirocket,50.0,9,atrial fibrillation,0.8668555240793201,ChapmanShaoxing
minirocket,50.0,10,atrial fibrillation,0.8515406162464986,ChapmanShaoxing
minirocket,50.0,11,atrial fibrillation,0.8505747126436781,ChapmanShaoxing
minirocket,50.0,12,atrial fibrillation,0.8626373626373628,ChapmanShaoxing
minirocket,50.0,13,atrial fibrillation,0.8672566371681415,ChapmanShaoxing
minirocket,50.0,14,atrial fibrillation,0.8825214899713467,ChapmanShaoxing
minirocket,50.0,15,atrial fibrillation,0.8630952380952381,ChapmanShaoxing
minirocket,50.0,16,atrial fibrillation,0.888888888888889,ChapmanShaoxing
minirocket,50.0,17,atrial fibrillation,0.875,ChapmanShaoxing
minirocket,50.0,18,atrial fibrillation,0.8108108108108109,ChapmanShaoxing
minirocket,50.0,19,atrial fibrillation,0.8067226890756303,ChapmanShaoxing
minirocket,100.0,0,atrial fibrillation,0.8048780487804879,ChapmanShaoxing
minirocket,100.0,1,atrial fibrillation,0.8367952522255192,ChapmanShaoxing
minirocket,100.0,2,atrial fibrillation,0.8208092485549133,ChapmanShaoxing
minirocket,100.0,3,atrial fibrillation,0.8319088319088318,ChapmanShaoxing
minirocket,100.0,4,atrial fibrillation,0.872093023255814,ChapmanShaoxing
minirocket,100.0,5,atrial fibrillation,0.8735632183908045,ChapmanShaoxing
minirocket,100.0,6,atrial fibrillation,0.8392857142857143,ChapmanShaoxing
minirocket,100.0,7,atrial fibrillation,0.871641791044776,ChapmanShaoxing
minirocket,100.0,8,atrial fibrillation,0.8808864265927978,ChapmanShaoxing
minirocket,100.0,9,atrial fibrillation,0.8571428571428572,ChapmanShaoxing
minirocket,100.0,10,atrial fibrillation,0.8463611859838276,ChapmanShaoxing
minirocket,100.0,11,atrial fibrillation,0.8454810495626822,ChapmanShaoxing
minirocket,100.0,12,atrial fibrillation,0.8656716417910448,ChapmanShaoxing
minirocket,100.0,13,atrial fibrillation,0.836676217765043,ChapmanShaoxing
minirocket,100.0,14,atrial fibrillation,0.8914285714285713,ChapmanShaoxing
minirocket,100.0,15,atrial fibrillation,0.8516483516483517,ChapmanShaoxing
minirocket,100.0,16,atrial fibrillation,0.8611898016997167,ChapmanShaoxing
minirocket,100.0,17,atrial fibrillation,0.8629737609329445,ChapmanShaoxing
minirocket,100.0,18,atrial fibrillation,0.8764044943820224,ChapmanShaoxing
minirocket,100.0,19,atrial fibrillation,0.8051948051948052,ChapmanShaoxing
minirocket,500.0,0,atrial fibrillation,0.8262108262108262,ChapmanShaoxing
minirocket,500.0,1,atrial fibrillation,0.8546511627906977,ChapmanShaoxing
minirocket,500.0,2,atrial fibrillation,0.8242074927953891,ChapmanShaoxing
minirocket,500.0,3,atrial fibrillation,0.8205128205128206,ChapmanShaoxing
minirocket,500.0,4,atrial fibrillation,0.8269794721407624,ChapmanShaoxing
minirocket,500.0,5,atrial fibrillation,0.8069164265129682,ChapmanShaoxing
minirocket,500.0,6,atrial fibrillation,0.8222222222222223,ChapmanShaoxing
minirocket,500.0,7,atrial fibrillation,0.8132530120481929,ChapmanShaoxing
minirocket,500.0,8,atrial fibrillation,0.8587570621468926,ChapmanShaoxing
minirocket,500.0,9,atrial fibrillation,0.8314606741573033,ChapmanShaoxing
minirocket,500.0,10,atrial fibrillation,0.8262108262108262,ChapmanShaoxing
minirocket,500.0,11,atrial fibrillation,0.8467966573816156,ChapmanShaoxing
minirocket,500.0,12,atrial fibrillation,0.8418079096045198,ChapmanShaoxing
minirocket,500.0,13,atrial fibrillation,0.8319088319088318,ChapmanShaoxing
minirocket,500.0,14,atrial fibrillation,0.8181818181818181,ChapmanShaoxing
minirocket,500.0,15,atrial fibrillation,0.8685714285714285,ChapmanShaoxing
minirocket,500.0,16,atrial fibrillation,0.836676217765043,ChapmanShaoxing
minirocket,500.0,17,atrial fibrillation,0.7717391304347827,ChapmanShaoxing
minirocket,500.0,18,atrial fibrillation,0.7917888563049854,ChapmanShaoxing
minirocket,500.0,19,atrial fibrillation,0.8248587570621468,ChapmanShaoxing
xresnet1d101,30.0,0,atrial fibrillation,0.8864265927977839,ChapmanShaoxing
xresnet1d101,30.0,1,atrial fibrillation,0.9187675070028012,ChapmanShaoxing
xresnet1d101,30.0,2,atrial fibrillation,0.8908045977011494,ChapmanShaoxing
xresnet1d101,30.0,3,atrial fibrillation,0.9090909090909092,ChapmanShaoxing
xresnet1d101,30.0,4,atrial fibrillation,0.900804289544236,ChapmanShaoxing
xresnet1d101,30.0,5,atrial fibrillation,0.8994082840236686,ChapmanShaoxing
xresnet1d101,30.0,6,atrial fibrillation,0.898936170212766,ChapmanShaoxing
xresnet1d101,30.0,7,atrial fibrillation,0.912568306010929,ChapmanShaoxing
xresnet1d101,30.0,8,atrial fibrillation,0.9150684931506848,ChapmanShaoxing
xresnet1d101,30.0,9,atrial fibrillation,0.9058823529411764,ChapmanShaoxing
xresnet1d101,30.0,10,atrial fibrillation,0.9152542372881356,ChapmanShaoxing
xresnet1d101,30.0,11,atrial fibrillation,0.9041095890410958,ChapmanShaoxing
xresnet1d101,30.0,12,atrial fibrillation,0.8765743073047858,ChapmanShaoxing
xresnet1d101,30.0,13,atrial fibrillation,0.8571428571428572,ChapmanShaoxing
xresnet1d101,30.0,14,atrial fibrillation,0.8840970350404312,ChapmanShaoxing
xresnet1d101,30.0,15,atrial fibrillation,0.8965517241379309,ChapmanShaoxing
xresnet1d101,30.0,16,atrial fibrillation,0.9195402298850572,ChapmanShaoxing
xresnet1d101,30.0,17,atrial fibrillation,0.9173789173789174,ChapmanShaoxing
xresnet1d101,30.0,18,atrial fibrillation,0.8773841961852861,ChapmanShaoxing
xresnet1d101,30.0,19,atrial fibrillation,0.897142857142857,ChapmanShaoxing
xresnet1d101,50.0,0,atrial fibrillation,0.9261363636363636,ChapmanShaoxing
xresnet1d101,50.0,1,atrial fibrillation,0.9095890410958904,ChapmanShaoxing
xresnet1d101,50.0,2,atrial fibrillation,0.9295774647887324,ChapmanShaoxing
xresnet1d101,50.0,3,atrial fibrillation,0.9043478260869564,ChapmanShaoxing
xresnet1d101,50.0,4,atrial fibrillation,0.9173789173789174,ChapmanShaoxing
xresnet1d101,50.0,5,atrial fibrillation,0.8853333333333334,ChapmanShaoxing
xresnet1d101,50.0,6,atrial fibrillation,0.9019607843137256,ChapmanShaoxing
xresnet1d101,50.0,7,atrial fibrillation,0.913649025069638,ChapmanShaoxing
xresnet1d101,50.0,8,atrial fibrillation,0.9178470254957508,ChapmanShaoxing
xresnet1d101,50.0,9,atrial fibrillation,0.9285714285714284,ChapmanShaoxing
xresnet1d101,50.0,10,atrial fibrillation,0.9027027027027028,ChapmanShaoxing
xresnet1d101,50.0,11,atrial fibrillation,0.905027932960894,ChapmanShaoxing
xresnet1d101,50.0,12,atrial fibrillation,0.8942598187311178,ChapmanShaoxing
xresnet1d101,50.0,13,atrial fibrillation,0.910144927536232,ChapmanShaoxing
xresnet1d101,50.0,14,atrial fibrillation,0.9111111111111112,ChapmanShaoxing
xresnet1d101,50.0,15,atrial fibrillation,0.8997289972899729,ChapmanShaoxing
xresnet1d101,50.0,16,atrial fibrillation,0.9086021505376344,ChapmanShaoxing
xresnet1d101,50.0,17,atrial fibrillation,0.8707124010554088,ChapmanShaoxing
xresnet1d101,50.0,18,atrial fibrillation,0.9080779944289692,ChapmanShaoxing
xresnet1d101,50.0,19,atrial fibrillation,0.9022988505747128,ChapmanShaoxing
xresnet1d101,100.0,0,atrial fibrillation,0.8967391304347826,ChapmanShaoxing
xresnet1d101,100.0,1,atrial fibrillation,0.9060773480662982,ChapmanShaoxing
xresnet1d101,100.0,2,atrial fibrillation,0.8802395209580838,ChapmanShaoxing
xresnet1d101,100.0,3,atrial fibrillation,0.906515580736544,ChapmanShaoxing
xresnet1d101,100.0,4,atrial fibrillation,0.87292817679558,ChapmanShaoxing
xresnet1d101,100.0,5,atrial fibrillation,0.87292817679558,ChapmanShaoxing
xresnet1d101,100.0,6,atrial fibrillation,0.8908045977011494,ChapmanShaoxing
xresnet1d101,100.0,7,atrial fibrillation,0.9017341040462428,ChapmanShaoxing
xresnet1d101,100.0,8,atrial fibrillation,0.908108108108108,ChapmanShaoxing
xresnet1d101,100.0,9,atrial fibrillation,0.9183098591549296,ChapmanShaoxing
xresnet1d101,100.0,10,atrial fibrillation,0.892128279883382,ChapmanShaoxing
xresnet1d101,100.0,11,atrial fibrillation,0.9168900804289544,ChapmanShaoxing
xresnet1d101,100.0,12,atrial fibrillation,0.8947368421052632,ChapmanShaoxing
xresnet1d101,100.0,13,atrial fibrillation,0.8436578171091446,ChapmanShaoxing
xresnet1d101,100.0,14,atrial fibrillation,0.923076923076923,ChapmanShaoxing
xresnet1d101,100.0,15,atrial fibrillation,0.8972972972972972,ChapmanShaoxing
xresnet1d101,100.0,16,atrial fibrillation,0.9032258064516128,ChapmanShaoxing
xresnet1d101,100.0,17,atrial fibrillation,0.9054441260744986,ChapmanShaoxing
xresnet1d101,100.0,18,atrial fibrillation,0.9090909090909092,ChapmanShaoxing
xresnet1d101,100.0,19,atrial fibrillation,0.8940568475452196,ChapmanShaoxing
xresnet1d101,500.0,0,atrial fibrillation,0.8773006134969324,ChapmanShaoxing
xresnet1d101,500.0,1,atrial fibrillation,0.9002849002849003,ChapmanShaoxing
xresnet1d101,500.0,2,atrial fibrillation,0.9019607843137256,ChapmanShaoxing
xresnet1d101,500.0,3,atrial fibrillation,0.9076086956521738,ChapmanShaoxing
xresnet1d101,500.0,4,atrial fibrillation,0.9121813031161472,ChapmanShaoxing
xresnet1d101,500.0,5,atrial fibrillation,0.9035812672176308,ChapmanShaoxing
xresnet1d101,500.0,6,atrial fibrillation,0.908045977011494,ChapmanShaoxing
xresnet1d101,500.0,7,atrial fibrillation,0.8698224852071005,ChapmanShaoxing
xresnet1d101,500.0,8,atrial fibrillation,0.8865435356200527,ChapmanShaoxing
xresnet1d101,500.0,9,atrial fibrillation,0.8920454545454545,ChapmanShaoxing
xresnet1d101,500.0,10,atrial fibrillation,0.8941798941798942,ChapmanShaoxing
xresnet1d101,500.0,11,atrial fibrillation,0.8685714285714285,ChapmanShaoxing
xresnet1d101,500.0,12,atrial fibrillation,0.9111747851002864,ChapmanShaoxing
xresnet1d101,500.0,13,atrial fibrillation,0.9085714285714288,ChapmanShaoxing
xresnet1d101,500.0,14,atrial fibrillation,0.888888888888889,ChapmanShaoxing
xresnet1d101,500.0,15,atrial fibrillation,0.8434504792332269,ChapmanShaoxing
xresnet1d101,500.0,16,atrial fibrillation,0.9157303370786516,ChapmanShaoxing
xresnet1d101,500.0,17,atrial fibrillation,0.8674033149171272,ChapmanShaoxing
xresnet1d101,500.0,18,atrial fibrillation,0.8433734939759038,ChapmanShaoxing
xresnet1d101,500.0,19,atrial fibrillation,0.903409090909091,ChapmanShaoxing
inception,30.0,0,left ventricular high voltage,0.54,ChapmanShaoxing
inception,30.0,1,left ventricular high voltage,0.5680000000000001,ChapmanShaoxing
inception,30.0,2,left ventricular high voltage,0.4977777777777777,ChapmanShaoxing
inception,30.0,3,left ventricular high voltage,0.5625,ChapmanShaoxing
inception,30.0,4,left ventricular high voltage,0.4870466321243522,ChapmanShaoxing
inception,30.0,5,left ventricular high voltage,0.4477611940298507,ChapmanShaoxing
inception,30.0,6,left ventricular high voltage,0.4848484848484848,ChapmanShaoxing
inception,30.0,7,left ventricular high voltage,0.5619834710743801,ChapmanShaoxing
inception,30.0,8,left ventricular high voltage,0.4895833333333333,ChapmanShaoxing
inception,30.0,9,left ventricular high voltage,0.5436893203883495,ChapmanShaoxing
inception,30.0,10,left ventricular high voltage,0.5296803652968036,ChapmanShaoxing
inception,30.0,11,left ventricular high voltage,0.5551020408163265,ChapmanShaoxing
inception,30.0,12,left ventricular high voltage,0.3125,ChapmanShaoxing
inception,30.0,13,left ventricular high voltage,0.4489795918367347,ChapmanShaoxing
inception,30.0,14,left ventricular high voltage,0.563265306122449,ChapmanShaoxing
inception,30.0,15,left ventricular high voltage,0.5357142857142857,ChapmanShaoxing
inception,30.0,16,left ventricular high voltage,0.5593869731800767,ChapmanShaoxing
inception,30.0,17,left ventricular high voltage,0.4385026737967915,ChapmanShaoxing
inception,30.0,18,left ventricular high voltage,0.5135135135135135,ChapmanShaoxing
inception,30.0,19,left ventricular high voltage,0.5175438596491228,ChapmanShaoxing
inception,50.0,0,left ventricular high voltage,0.4976076555023923,ChapmanShaoxing
inception,50.0,1,left ventricular high voltage,0.5504587155963303,ChapmanShaoxing
inception,50.0,2,left ventricular high voltage,0.4347826086956521,ChapmanShaoxing
inception,50.0,3,left ventricular high voltage,0.5346534653465346,ChapmanShaoxing
inception,50.0,4,left ventricular high voltage,0.5541125541125541,ChapmanShaoxing
inception,50.0,5,left ventricular high voltage,0.5426356589147288,ChapmanShaoxing
inception,50.0,6,left ventricular high voltage,0.5620915032679739,ChapmanShaoxing
inception,50.0,7,left ventricular high voltage,0.5172413793103449,ChapmanShaoxing
inception,50.0,8,left ventricular high voltage,0.5086206896551724,ChapmanShaoxing
inception,50.0,9,left ventricular high voltage,0.5650224215246638,ChapmanShaoxing
inception,50.0,10,left ventricular high voltage,0.5299145299145298,ChapmanShaoxing
inception,50.0,11,left ventricular high voltage,0.4574468085106382,ChapmanShaoxing
inception,50.0,12,left ventricular high voltage,0.4180790960451978,ChapmanShaoxing
inception,50.0,13,left ventricular high voltage,0.5277777777777778,ChapmanShaoxing
inception,50.0,14,left ventricular high voltage,0.5772357723577236,ChapmanShaoxing
inception,50.0,15,left ventricular high voltage,0.5542168674698795,ChapmanShaoxing
inception,50.0,16,left ventricular high voltage,0.5074626865671642,ChapmanShaoxing
inception,50.0,17,left ventricular high voltage,0.5726495726495726,ChapmanShaoxing
inception,50.0,18,left ventricular high voltage,0.576,ChapmanShaoxing
inception,50.0,19,left ventricular high voltage,0.532319391634981,ChapmanShaoxing
inception,100.0,0,left ventricular high voltage,0.5,ChapmanShaoxing
inception,100.0,1,left ventricular high voltage,0.5772357723577236,ChapmanShaoxing
inception,100.0,2,left ventricular high voltage,0.5225225225225225,ChapmanShaoxing
inception,100.0,3,left ventricular high voltage,0.5120772946859904,ChapmanShaoxing
inception,100.0,4,left ventricular high voltage,0.4530386740331492,ChapmanShaoxing
inception,100.0,5,left ventricular high voltage,0.5550660792951543,ChapmanShaoxing
inception,100.0,6,left ventricular high voltage,0.4854368932038835,ChapmanShaoxing
inception,100.0,7,left ventricular high voltage,0.5333333333333333,ChapmanShaoxing
inception,100.0,8,left ventricular high voltage,0.3953488372093023,ChapmanShaoxing
inception,100.0,9,left ventricular high voltage,0.5587044534412955,ChapmanShaoxing
inception,100.0,10,left ventricular high voltage,0.5339805825242718,ChapmanShaoxing
inception,100.0,11,left ventricular high voltage,0.4747474747474747,ChapmanShaoxing
inception,100.0,12,left ventricular high voltage,0.5405405405405406,ChapmanShaoxing
inception,100.0,13,left ventricular high voltage,0.5350877192982457,ChapmanShaoxing
inception,100.0,14,left ventricular high voltage,0.4907407407407407,ChapmanShaoxing
inception,100.0,15,left ventricular high voltage,0.367816091954023,ChapmanShaoxing
inception,100.0,16,left ventricular high voltage,0.5357142857142857,ChapmanShaoxing
inception,100.0,17,left ventricular high voltage,0.3658536585365853,ChapmanShaoxing
inception,100.0,18,left ventricular high voltage,0.5725490196078432,ChapmanShaoxing
inception,100.0,19,left ventricular high voltage,0.5092592592592593,ChapmanShaoxing
inception,500.0,0,left ventricular high voltage,0.5454545454545454,ChapmanShaoxing
inception,500.0,1,left ventricular high voltage,0.4623655913978494,ChapmanShaoxing
inception,500.0,2,left ventricular high voltage,0.5263157894736842,ChapmanShaoxing
inception,500.0,3,left ventricular high voltage,0.4878048780487804,ChapmanShaoxing
inception,500.0,4,left ventricular high voltage,0.3954802259887006,ChapmanShaoxing
inception,500.0,5,left ventricular high voltage,0.4824561403508772,ChapmanShaoxing
inception,500.0,6,left ventricular high voltage,0.4042553191489362,ChapmanShaoxing
inception,500.0,7,left ventricular high voltage,0.5023696682464455,ChapmanShaoxing
inception,500.0,8,left ventricular high voltage,0.5023255813953489,ChapmanShaoxing
inception,500.0,9,left ventricular high voltage,0.4705882352941176,ChapmanShaoxing
inception,500.0,10,left ventricular high voltage,0.3771428571428571,ChapmanShaoxing
inception,500.0,11,left ventricular high voltage,0.4615384615384616,ChapmanShaoxing
inception,500.0,12,left ventricular high voltage,0.4022346368715084,ChapmanShaoxing
inception,500.0,13,left ventricular high voltage,0.4361702127659574,ChapmanShaoxing
inception,500.0,14,left ventricular high voltage,0.3550295857988165,ChapmanShaoxing
inception,500.0,15,left ventricular high voltage,0.3625730994152046,ChapmanShaoxing
inception,500.0,16,left ventricular high voltage,0.3105590062111801,ChapmanShaoxing
inception,500.0,17,left ventricular high voltage,0.5563380281690141,ChapmanShaoxing
inception,500.0,18,left ventricular high voltage,0.4776119402985074,ChapmanShaoxing
inception,500.0,19,left ventricular high voltage,0.4321608040201005,ChapmanShaoxing
minirocket,30.0,0,left ventricular high voltage,0.576419213973799,ChapmanShaoxing
minirocket,30.0,1,left ventricular high voltage,0.5909090909090909,ChapmanShaoxing
minirocket,30.0,2,left ventricular high voltage,0.4680851063829787,ChapmanShaoxing
minirocket,30.0,3,left ventricular high voltage,0.5963302752293578,ChapmanShaoxing
minirocket,30.0,4,left ventricular high voltage,0.5943775100401606,ChapmanShaoxing
minirocket,30.0,5,left ventricular high voltage,0.6233766233766233,ChapmanShaoxing
minirocket,30.0,6,left ventricular high voltage,0.6446280991735538,ChapmanShaoxing
minirocket,30.0,7,left ventricular high voltage,0.584,ChapmanShaoxing
minirocket,30.0,8,left ventricular high voltage,0.6403162055335968,ChapmanShaoxing
minirocket,30.0,9,left ventricular high voltage,0.5660377358490566,ChapmanShaoxing
minirocket,30.0,10,left ventricular high voltage,0.4639175257731959,ChapmanShaoxing
minirocket,30.0,11,left ventricular high voltage,0.5727699530516431,ChapmanShaoxing
minirocket,30.0,12,left ventricular high voltage,0.6027397260273972,ChapmanShaoxing
minirocket,30.0,13,left ventricular high voltage,0.4313725490196078,ChapmanShaoxing
minirocket,30.0,14,left ventricular high voltage,0.4751381215469614,ChapmanShaoxing
minirocket,30.0,15,left ventricular high voltage,0.632034632034632,ChapmanShaoxing
minirocket,30.0,16,left ventricular high voltage,0.6265060240963854,ChapmanShaoxing
minirocket,30.0,17,left ventricular high voltage,0.4875621890547264,ChapmanShaoxing
minirocket,30.0,18,left ventricular high voltage,0.6083650190114068,ChapmanShaoxing
minirocket,30.0,19,left ventricular high voltage,0.482051282051282,ChapmanShaoxing
minirocket,50.0,0,left ventricular high voltage,0.6210045662100457,ChapmanShaoxing
minirocket,50.0,1,left ventricular high voltage,0.6558704453441295,ChapmanShaoxing
minirocket,50.0,2,left ventricular high voltage,0.5161290322580645,ChapmanShaoxing
minirocket,50.0,3,left ventricular high voltage,0.3977272727272727,ChapmanShaoxing
minirocket,50.0,4,left ventricular high voltage,0.4833333333333333,ChapmanShaoxing
minirocket,50.0,5,left ventricular high voltage,0.4653465346534653,ChapmanShaoxing
minirocket,50.0,6,left ventricular high voltage,0.5283018867924528,ChapmanShaoxing
minirocket,50.0,7,left ventricular high voltage,0.4631578947368421,ChapmanShaoxing
minirocket,50.0,8,left ventricular high voltage,0.6048780487804878,ChapmanShaoxing
minirocket,50.0,9,left ventricular high voltage,0.583732057416268,ChapmanShaoxing
